Provider trainee ID,Apply ID,First name,Last name,Date of birth,Gender,Nationality,Email,Ethnicity,Disabilities,Previous last name,National Insurance number,Course qualification,Training route,Course level,Course education phase,Course age range,Course ITT subject,Course study mode,Course ITT start date,Expected end date,Trainee start date,Postgraduate apprencticeship start date,Employing school URN,Lead partner URN,Year of programme,Training initiative,Funding option,Funding eligibility,Country of degree,Degree subjects,UK degree type,UK awarding institution,UK degree grade,UK degree grade other,Non UK degree types,Graduation year,Errors
GD6448,,Jack,Abshire,03/05/1988,Female,Turkmen,Shon.Crona@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Biology with chemistry,,01/09/2023,01/06/2024,02/09/2023,,,,,Future Teaching Scholars,not funded,,,,,,,,,,
PD4888,,Terrence,Altenwerth,08/07/1975,Female,Turkmen,Sanda.Schumm@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Primary,3 to 7,Primary with physical education,,01/09/2023,01/06/2024,12/09/2023,,,,,Troops to Teachers,not funded,,,,,,,,,,
BC3735,,Al,Auer,12/10/1980,Other,Turkmen,Ciara.Waelchi@example.com,Not provided,,,,QTS,School direct (fee funded),,Secondary,16 to 19,Physical education with physics,,01/09/2023,01/06/2024,02/09/2023,,,,,Not on a training initiative,not funded,,,,,,,,,,
XX4142,,Angelo,Auer,12/02/1970,Other,Turkmen,Willis.Labadie@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Physical education,,01/09/2023,01/06/2024,11/09/2023,,,,,Transition to Teach,not funded,,,,,,,,,,
SK3817,,Joanne,Aufderhar,14/06/1983,Male,Turkmen,Rayford.Fisher@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Biology with chemistry,,01/09/2023,01/06/2024,03/09/2023,,,,,Troops to Teachers,not funded,,,,,,,,,,
YM8630,,June,Bailey,12/09/1989,Other,"Turkmen, Turkmen",Shara.Ondricka@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Latin,,01/09/2023,01/06/2024,06/09/2023,,,,,Maths and Physics Chairs programme / Researchers in Schools,not funded,,,,,,,,,,
DN8645,,Yolanda,Barrows,27/10/2003,Prefer not to say,Turkmen,Mildred.Turner@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,01/09/2023,01/06/2024,05/09/2023,,,,,Not on a training initiative,not funded,,,,,,,,,,
AC7745,,Isaac,Barton,16/08/2000,Prefer not to say,"Turkmen, Turkmen",Merlin.Lynch@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Latin,,01/09/2023,01/06/2024,19/09/2023,,,,,Future Teaching Scholars,not funded,,,,,,,,,,
ST6988,,Jose,Batz,29/10/1960,Prefer not to say,"Turkmen, Turkmen",Bree.Steuber@example.com,Not provided,,,,QTS,School direct (salaried),,Primary,3 to 7,Primary,,01/09/2023,01/06/2024,06/09/2023,,,,,Maths and Physics Chairs programme / Researchers in Schools,not funded,,,,,,,,,,
RC3608,,Rafael,Beatty,14/08/1975,Not provided,Turkmen,Sherman.Keeling@example.com,Not provided,,,,QTS,Provider-led (undergrad),,Secondary,16 to 19,Italian,,01/09/2023,01/06/2024,16/09/2023,,,,,Not on a training initiative,not funded,,,,,,,,,,
HL2974,,Lester,Beer,18/10/1985,Not provided,Turkmen,Maris.Wintheiser@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Spanish,,01/09/2023,01/06/2024,02/09/2023,,,,,Not on a training initiative,not funded,,,,,,,,,,
RS1429,,Jaime,Beier,21/11/1960,Male,Turkmen,Tomoko.Becker@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,01/09/2023,01/06/2024,02/09/2023,,,,,Transition to Teach,not funded,,,,,,,,,,
RN4482,,Olive,Benoit,27/11/1958,Prefer not to say,Turkmen,Aileen.Kling@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Physical education with physics,,01/09/2023,01/06/2024,11/09/2023,,,,,Not on a training initiative,not funded,,,,,,,,,,
NH4668,,Émeric,Bertrand,23/06/1963,Not provided,"Turkmen, Turkmen",Neil.Bahringer@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Latin,,01/09/2023,01/06/2024,04/09/2023,,,,,Not on a training initiative,not funded,,,,,,,,,,
FC3909,,Irving,Boehm,25/07/1978,Not provided,Turkmen,Michelle.Mertz@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Modern languages,,01/09/2023,01/06/2024,11/09/2023,,,,,Troops to Teachers,not funded,,,,,,,,,,
QB7031,,Mario,Borer,08/08/1973,Prefer not to say,Turkmen,Thelma.Kunde@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Physical education with physics,,01/09/2023,01/06/2024,11/09/2023,,,,,Not on a training initiative,not funded,,,,,,,,,,
XR1159,,Doris,Botsford,15/08/1978,Female,Turkmen,Leo.Flatley@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Latin,,01/09/2023,01/06/2024,08/09/2023,,,,,Transition to Teach,not funded,,,,,,,,,,
DM8266,,Vickie,Bradtke,10/07/1987,Male,Turkmen,Dewitt.Wisozk@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Physical education with physics,,01/09/2023,01/06/2024,01/09/2023,,,,,Not on a training initiative,not funded,,,,,,,,,,
EC6238,,Laureline,Caron,21/05/1978,Other,"Turkmen, Turkmen",Carmella.Block@example.com,Not provided,,,,QTS,Provider-led (undergrad),,Secondary,16 to 19,Design and technology,,01/09/2023,01/06/2024,05/09/2023,,,,,Future Teaching Scholars,not funded,,,,,,,,,,
-,,Eudoxe,Caron,11/05/1972,Male,Turkmen,Noe.Howe@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Primary,3 to 7,Primary,,01/09/2023,01/06/2024,01/09/2023,,,,,Now Teach,not funded,,,,,,,,,,
-,,Raoul,Carpentier,30/09/1964,Other,Turkmen,Gilberto.Bartoletti@example.com,Not provided,,,,QTS,School direct (fee funded),,Secondary,16 to 19,Design and technology,,01/09/2023,01/06/2024,08/09/2023,,,,,Maths and Physics Chairs programme / Researchers in Schools,not funded,,,,,,,,,,
-,,Pearl,Champlin,03/02/1987,Not provided,Turkmen,Rosamond.Gutmann@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Primary,3 to 7,Primary,,01/09/2023,01/06/2024,05/09/2023,,,,,Maths and Physics Chairs programme / Researchers in Schools,not funded,,,,,,,,,,
-,,Christine,Chevalier,31/07/1980,Not provided,"Turkmen, Turkmen",Bobbie.Jones@example.com,Not provided,,,,QTS,School direct (salaried),,Secondary,16 to 19,Physical education with physics,,01/09/2023,01/06/2024,13/09/2023,,,,,Now Teach,not funded,,,,,,,,,,
-,,Gary,Collier,01/11/1989,Prefer not to say,Turkmen,Jason.Ullrich@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Primary,3 to 7,Primary with modern languages,,01/09/2023,01/06/2024,03/09/2023,,,,,Now Teach,not funded,,,,,,,,,,
-,,Patty,Collins,15/07/1991,Female,"Congolese (Drc), Congolese (Drc)",Sherman.Stoltenberg@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Latin,,01/09/2023,01/06/2024,,,,,,Transition to Teach,not funded,,,,,,,,,,
RT7878,,Francisco,Considine,01/08/1961,Male,"Congolese (Drc), Congolese (Drc)",Brandy.Schimmel@example.com,Not provided,,,,QTS,School direct (fee funded),,Secondary,16 to 19,Design and technology,,01/09/2023,01/06/2024,,,,,,Maths and Physics Chairs programme / Researchers in Schools,not funded,,,,,,,,,,
CG5580,,Alcyone,Da silva,30/06/1963,Male,Congolese (Drc),Dexter.Volkman@example.com,Not provided,,,,QTS,School direct (fee funded),,Secondary,16 to 19,Design and technology with English,,01/09/2023,01/06/2024,07/09/2023,,,,,Troops to Teachers,not funded,,,,,,,,,,
HD9024,,Max,Deckow,01/12/1969,Other,Congolese (Drc),Antonio.Mueller@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Physical education,,01/09/2023,01/06/2024,08/09/2023,,,,,Future Teaching Scholars,not funded,,,,,,,,,,
DQ9717,,Carla,Deckow,09/05/1962,Female,Congolese (Drc),Loren.Huel@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,01/09/2023,01/06/2024,04/09/2023,,,,,Future Teaching Scholars,not funded,,,,,,,,,,
LY3676,,Shannon,Dickens,09/10/2000,Female,Congolese (Drc),Charlyn.O'Reilly@example.com,Not provided,,,,QTS,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,01/09/2023,01/06/2024,03/09/2023,,,,,Troops to Teachers,not funded,,,,,,,,,,
