TRN,Postgraduate qualification,Date standards met
Do not change this column,"For postgraduate trainees, in the column ‘Postgraduate qualification’ add one of these options:
- PGCE- PGDE
- None
If the trainee was not on a postgraduate course, leave the cell as ‘Not applicable’.","When the trainee met the QTS or EYTS standards.
Must be written DD/MM/YYYY. 
For example, if the trainee met the teaching standard on 20 July 2022, write ‘20/07/2022’.
The date must be in the past.
If the trainee has not met the teaching standard, leave the cell empty."
LY9214,,
CB0736,,
GM2844,,
EH4015,,
CZ5140,,
SF6298,,
CB6515,,
TL1239,,
XP1904,,
LZ4060,,
ES4157,,
EA5531,,
DT4917,,
HY1346,,
CP5267,,
NN0456,,
TC6049,,
ZG5797,,
QY9024,,
BX1488,,
DM3787,,
LY8349,,
HC4662,,
YL7503,,
TN0521,,
FH7057,,
FT3026,,
TX2114,,
GX7531,,
CY5405,,
AS7594,,
AM2248,,
TF0044,,
BM6053,,
QW1061,,
CD1243,,
PR7820,,
AG1726,,
WY9461,,
AY1140,,
FP7341,,
QD9244,,
GW2621,,
FQ7206,,
FY8755,,
CK0063,,
HY3693,,
QW7739,,
FS2391,,
AW1698,,
TQ4748,,
ZP8118,,
