TRN,Provider trainee ID,Last names,First names,Start academic year,Route and course,Date standards met
"Must contain a trainee's TRN, or be empty.
Delete or add trainees as necessary.","Must contain your ID for the trainee, or be empty.
Delete or add trainees as necessary.",For reference only,For reference only,For reference only,For reference only,"Add the date when the trainee met QTS or EYTS standards.
Must be written DD/MM/YYYY.
For example, if the trainee met the teaching standard on 20 July 2022, write '20/07/2022'.
The date must be in the past.
If the trainee has not met the QTS, leave the cell empty or delete the row."
6666531,GD6448,Abshire,Jack,2021 to 2022,"School direct (fee funded)
Biology with chemistry",10/06/2022
4912274,PD4888,Altenwerth,Terrence,2021 to 2022,"Provider-led (postgrad)
Primary with physical education",22/01/2022
1995355,BC3735,Auer,Al,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",10/06/2022
7004997,XX4142,Auer,Angelo,2021 to 2022,"School direct (fee funded)
Physical education",10/06/2022
8260100,SK3817,Aufderhar,Joanne,2021 to 2022,"Provider-led (postgrad)
Biology with chemistry",03/02/2022
1069262,YM8630,Bailey,June,2021 to 2022,"Provider-led (postgrad)
Latin",10/06/2022
3417658,DN8645,Barrows,Yolanda,2021 to 2022,"Provider-led (postgrad)
Design and technology",04/03/2022
4078189,AC7745,Barton,Isaac,2021 to 2022,"Provider-led (postgrad)
Latin",17/06/2022
7900253,ST6988,Batz,Jose,2021 to 2022,"Provider-led (postgrad)
Primary",17/06/2022
5646510,RC3608,Beatty,Rafael,2021 to 2022,"School direct (salaried)
Italian",17/06/2022
8744159,HL2974,Beer,Lester,2021 to 2022,Provider-led (undergrad),24/06/2022
2732947,RS1429,Beier,Jaime,2021 to 2022,"Provider-led (postgrad)
Design and technology",17/06/2022
9837500,RN4482,Benoit,Olive,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",26/01/2022
7851957,NH4668,Bertrand,Émeric,2021 to 2022,"Provider-led (postgrad)
Latin",17/06/2022
9956721,FC3909,Boehm,Irving,2021 to 2022,"Provider-led (postgrad)
Modern languages",10/06/2022
4641293,QB7031,Borer,Mario,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",17/06/2022
5578493,XR1159,Botsford,Doris,2021 to 2022,"Provider-led (postgrad)
Latin",10/06/2022
8691476,DM8266,Bradtke,Vickie,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",10/06/2022
4930476,EC6238,Caron,Laureline,2021 to 2022,"Provider-led (postgrad)
Design and technology",17/06/2022
6408379,LM5954,Caron,Eudoxe,2021 to 2022,Provider-led (undergrad),20/04/2022
8537680,YM1278,Carpentier,Raoul,2021 to 2022,"Provider-led (postgrad)
Design and technology",10/06/2022
5751332,LP2348,Champlin,Pearl,2021 to 2022,"School direct (fee funded)
Primary",17/06/2022
9719346,PB6404,Chevalier,Christine,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",10/06/2022
8457026,CH1495,Collier,Gary,2021 to 2022,"School direct (salaried)
Primary with modern languages",24/06/2022
3904024,SK9525,Collins,Patty,2021 to 2022,"Provider-led (postgrad)
Latin",10/06/2022
9457054,RT7878,Considine,Francisco,2021 to 2022,"Provider-led (postgrad)
Design and technology",10/06/2022
6896165,CG5580,Da silva,Alcyone,2021 to 2022,"School direct (fee funded)
Design and technology with English",24/06/2022
8832625,HD9024,Deckow,Max,2021 to 2022,"School direct (fee funded)
Physical education",10/06/2022
7999914,DQ9717,Deckow,Carla,2021 to 2022,"Provider-led (postgrad)
Design and technology",10/06/2022
3007806,LY3676,Dickens,Shannon,2021 to 2022,"Provider-led (postgrad)
Design and technology",17/06/2022
9410956,AF9403,Donnelly,Omar,2021 to 2022,"Provider-led (postgrad)
Primary with mathematics",10/06/2022
1256500,MQ9676,Dupuis,Lucien,2021 to 2022,"Provider-led (postgrad)
Biology with chemistry",24/06/2022
8441731,GM2375,Durgan,Gene,2021 to 2022,"Provider-led (postgrad)
Modern languages",10/06/2022
3738544,NZ7230,Durgan,Jacqueline,2021 to 2022,"Provider-led (postgrad)
Latin",17/06/2022
2827462,CN4219,Erdman,Julia,2021 to 2022,Provider-led (undergrad),24/06/2022
3073808,QB3717,Fahey,Theresa,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",24/06/2022
4700830,HG4569,Flatley,Marion,2021 to 2022,"Provider-led (postgrad)
Modern languages",17/06/2022
3379589,EM2761,Fournier,Angélina,2021 to 2022,"School direct (salaried)
Primary",24/06/2022
5054746,AW3371,Frami,Margie,2021 to 2022,"Provider-led (postgrad)
Biology with chemistry",17/06/2022
4041145,RY2137,Franey,Lorena,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",10/06/2022
8569621,WX3307,Funk,Mamie,2021 to 2022,Provider-led (undergrad),10/06/2022
9055186,GG9603,Funk,Margarita,2021 to 2022,"Provider-led (postgrad)
Latin",10/06/2022
4371388,ZW8916,Garcia,Aphélie,2021 to 2022,Provider-led (undergrad),10/06/2022
5843544,DG6419,Gibson,Elena,2021 to 2022,"Teaching apprenticeship (postgrad)
Primary with mathematics",14/03/2022
3969536,HK1030,Gottlieb,Byron,2021 to 2022,"Provider-led (postgrad)
Primary with modern languages",10/06/2022
9150187,HB3671,Guerin,Isabelle,2021 to 2022,"Provider-led (postgrad)
Biology with chemistry",10/06/2022
