TRN,Trainee ID,First names,Last names,Start academic year,Route and course,Date standards met
"Must contain a trainee's TRN, or be empty.
Delete or add trainees as necessary.","Must contain your ID for the trainee, or be empty.
Delete or add trainees as necessary.",For reference only,For reference only,For reference only,"Add the date when the trainee met QTS or EYTS standards.
Must be written DD/MM/YYYY.
For example, if the trainee met the teaching standard on 20 July 2022, write '20/07/2022'.
The date must be in the past.
If the trainee has not met the QTS, leave the cell empty or delete the row.",
6666531,GD6448,Jack,Abshire,2021 to 2022,"School direct (fee funded)
Biology with chemistry",
4912274,PD4888,Terrence,Altenwerth,2021 to 2022,"Provider-led (postgrad)
Primary with physical education",
1995355,BC3735,Al,Auer,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",
7004997,XX4142,Angelo,Auer,2021 to 2022,"School direct (fee funded)
Physical education",
8260100,SK3817,Joanne,Aufderhar,2021 to 2022,"Provider-led (postgrad)
Biology with chemistry",
1069262,YM8630,June,Bailey,2021 to 2022,"Provider-led (postgrad)
Latin",
3417658,DN8645,Yolanda,Barrows,2021 to 2022,"Provider-led (postgrad)
Design and technology",
4078189,AC7745,Isaac,Barton,2021 to 2022,"Provider-led (postgrad)
Latin",
7900253,ST6988,Jose,Batz,2021 to 2022,"Provider-led (postgrad)
Primary",
5646510,RC3608,Rafael,Beatty,2021 to 2022,"School direct (salaried)
Italian",
8744159,HL2974,Lester,Beer,2021 to 2022,Provider-led (undergrad),
2732947,RS1429,Jaime,Beier,2021 to 2022,"Provider-led (postgrad)
Design and technology",
9837500,RN4482,Olive,Benoit,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",
7851957,NH4668,Émeric,Bertrand,2021 to 2022,"Provider-led (postgrad)
Latin",
9956721,FC3909,Irving,Boehm,2021 to 2022,"Provider-led (postgrad)
Modern languages",
4641293,QB7031,Mario,Borer,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",
5578493,XR1159,Doris,Botsford,2021 to 2022,"Provider-led (postgrad)
Latin",
8691476,DM8266,Vickie,Bradtke,2021 to 2022,"Provider-led (postgrad)
Physical education with physics",
